epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.6076,1.85952,2.53751,5.2853,1.78957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000648649,0.000648649,0.000648649
2,11.9759,2.09402,2.20152,5.18965,1.90027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130229,0.00130229,0.00130229
3,17.2392,2.0692,2.03438,4.59405,1.74966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194274,0.00194274,0.00194274
4,22.5341,2.04189,1.95513,4.54402,1.75223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019406,0.0019406,0.0019406
5,27.7759,2.01972,1.92496,4.27714,1.78079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019208,0.0019208,0.0019208
6,33.0317,2.05114,1.75066,3.89767,1.77922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001901,0.001901,0.001901
7,38.3419,2.01019,1.86,3.78586,1.80882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
8,43.584,2.0196,1.82101,3.50203,1.6815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018614,0.0018614,0.0018614
9,48.8198,1.90954,1.6138,3.31126,1.6956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
10,54.1297,1.91025,1.67394,3.2393,1.68363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018218,0.0018218,0.0018218
11,59.4057,1.77273,1.52476,2.88889,1.58953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
12,64.6605,1.81436,1.47631,2.61321,1.65081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017822,0.0017822,0.0017822
13,69.9288,1.72066,1.5391,2.56891,1.55796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
