epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.26125,2.5721,3.3695,7.45773,2.33717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022,0.00022,0.00022
2,6.296,2.44911,2.58588,5.38248,2.15737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000455446,0.000455446,0.000455446
3,8.2457,2.45246,2.4609,5.57163,2.33724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068614,0.00068614,0.00068614
4,10.1788,2.24721,2.5666,5.12146,2.22179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000912082,0.000912082,0.000912082
5,12.214,2.3078,2.26204,5.15855,2.22072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113327,0.00113327,0.00113327
6,14.1309,2.02236,2.05655,4.95825,1.88714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00134971,0.00134971,0.00134971
7,16.0235,2.26961,2.1842,4.43552,1.89023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015614,0.0015614,0.0015614
8,17.9422,2.31534,2.03118,5.112,2.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00176833,0.00176833,0.00176833
9,19.9028,2.09606,1.83558,4.25252,1.86192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
10,21.8216,2.04936,2.456,4.25292,1.79956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018218,0.0018218,0.0018218
11,23.723,2.23083,2.1174,4.33448,1.95287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
12,25.6314,2.14022,1.77699,4.1593,1.91853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017822,0.0017822,0.0017822
13,27.5371,1.86452,1.78388,4.03754,1.70661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
14,29.4423,1.82648,1.75519,3.72187,1.73231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017426,0.0017426,0.0017426
15,31.3266,2.00882,2.29762,4.1577,1.85813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
16,33.2399,2.12684,1.75793,3.739,2.08443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001703,0.001703,0.001703
17,35.1546,2.05228,1.7474,3.71661,1.95578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
18,37.0711,1.92907,1.81556,3.65232,1.89034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016634,0.0016634,0.0016634
19,38.9511,2.13663,1.65595,3.4361,1.95662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
20,40.8855,1.99996,1.84766,3.33661,1.73271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016238,0.0016238,0.0016238
21,42.8505,2.02083,1.90418,3.14672,1.78763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
22,44.7539,1.853,1.67483,3.1308,1.76862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015842,0.0015842,0.0015842
23,46.618,1.95513,1.79928,3.29036,1.79491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
24,48.5115,1.74978,1.40278,2.92177,1.68646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015446,0.0015446,0.0015446
25,50.3878,1.71086,1.65328,2.97672,1.65704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
26,52.3087,1.83637,1.84731,2.93985,1.67025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001505,0.001505,0.001505
