epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5357,1.65898,2.27856,5.12886,1.61301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046,0.00046,0.00046
2,24.2253,1.59123,1.79508,4.57646,1.37964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000930694,0.000930694,0.000930694
3,34.7424,1.77114,1.94428,4.72123,1.51825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139188,0.00139188,0.00139188
4,45.0032,1.72505,1.53179,4.4244,1.48152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00184357,0.00184357,0.00184357
5,55.3402,1.84429,1.76489,4.04143,1.53836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019208,0.0019208,0.0019208
6,66.6177,1.85797,1.48983,4.36801,1.62672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001901,0.001901,0.001901
7,77.0049,1.82672,1.49102,4.27399,1.58837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
8,87.5881,1.91814,1.69989,4.29376,1.62893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018614,0.0018614,0.0018614
9,98.181,1.73083,1.46007,3.8311,1.50479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
10,108.54,1.75286,1.35092,3.66613,1.52942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018218,0.0018218,0.0018218
11,119.288,1.89574,1.40344,3.62079,1.66727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
12,129.789,1.76228,1.35247,3.12135,1.50876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017822,0.0017822,0.0017822
13,140.377,1.79048,1.20012,3.281,1.60042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
14,151.302,1.58403,1.1498,3.26941,1.39665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017426,0.0017426,0.0017426
15,166.835,1.66364,1.36784,3.29295,1.48496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
16,183.21,1.53489,1.3477,2.99158,1.38633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001703,0.001703,0.001703
17,199.416,1.52596,1.25559,2.92689,1.34361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
18,215.614,1.50085,1.2205,2.41282,1.30401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016634,0.0016634,0.0016634
19,231.777,1.41718,1.225,2.31965,1.26776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
20,247.359,1.3512,1.13798,2.27589,1.28118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016238,0.0016238,0.0016238
21,262.78,1.29088,1.02382,2.33323,1.19216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
22,278.997,1.40713,1.13928,2.25798,1.2137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015842,0.0015842,0.0015842
23,290.973,1.37483,1.20716,2.08304,1.22563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
24,298.673,1.28426,1.15156,2.10778,1.25485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015446,0.0015446,0.0015446
25,304.01,1.38815,1.20188,2.11552,1.25426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
26,309.355,1.2831,1.11696,2.09514,1.2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001505,0.001505,0.001505
27,314.703,1.37839,1.05894,1.89358,1.25788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
28,319.897,1.31856,1.10523,1.95466,1.23665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014654,0.0014654,0.0014654
29,325.207,1.23249,1.0835,1.74778,1.19991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
30,330.544,1.29342,0.90808,1.81777,1.22863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014258,0.0014258,0.0014258
31,335.939,1.28046,1.06366,1.71212,1.12382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
32,341.308,1.18834,0.97037,1.69546,1.17635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013862,0.0013862,0.0013862
33,346.764,1.34204,1.13514,1.78471,1.20216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
34,352.125,1.25977,1.02636,1.62229,1.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013466,0.0013466,0.0013466
35,357.687,1.25435,1.08239,1.58048,1.14376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
36,363.023,1.17028,1.1084,1.5097,1.13336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001307,0.001307,0.001307
37,368.489,1.12795,0.97086,1.49065,1.1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
38,373.985,1.10061,0.95319,1.47424,1.13176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012674,0.0012674,0.0012674
39,379.352,1.14504,0.92389,1.48174,1.13226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
40,384.644,1.13979,1.00101,1.50079,1.08297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012278,0.0012278,0.0012278
41,389.948,1.14298,1.07253,1.55196,1.0783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
42,395.258,1.10686,1.01395,1.46526,1.0853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011882,0.0011882,0.0011882
43,400.553,1.0966,0.89253,1.33488,1.05945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
44,405.931,0.99196,0.91322,1.24883,1.02554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011486,0.0011486,0.0011486
45,411.248,1.09622,0.93252,1.22024,1.06163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
46,416.52,1.10463,1.03637,1.40984,1.08281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001109,0.001109,0.001109
47,421.94,1.07589,0.8466,1.41674,1.04992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
48,427.174,1.04438,0.86715,1.20964,1.02351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010694,0.0010694,0.0010694
49,432.54,1.03901,0.88326,1.26915,1.06809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
50,437.762,0.97964,0.88514,1.1944,1.01426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010298,0.0010298,0.0010298
51,443.012,1.09993,0.90549,1.42208,1.04102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
52,448.221,0.96128,0.8004,1.21185,1.0317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009902,0.0009902,0.0009902
53,453.548,0.94734,0.90776,1.22292,1.0502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
54,458.776,1.03012,1.00816,1.25546,1.00755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009506,0.0009506,0.0009506
55,464.138,0.9528,0.90685,1.12303,1.02367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
56,469.496,0.96543,0.93246,1.1188,1.03725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000911,0.000911,0.000911
57,474.896,1.09077,0.9246,1.3231,1.06373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
58,480.094,0.97895,0.87067,1.14293,1.02554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008714,0.0008714,0.0008714
59,485.426,0.8972,0.82468,1.08027,0.99429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
60,490.677,0.91545,0.84074,1.11853,0.97667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008318,0.0008318,0.0008318
61,495.938,0.92362,0.85251,1.23706,1.00216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
62,501.241,0.91233,0.82687,1.09804,0.97935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007922,0.0007922,0.0007922
63,506.622,0.88308,0.82885,1.05096,0.95646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
64,511.996,0.91672,0.81732,1.09528,1.00147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007526,0.0007526,0.0007526
65,517.317,0.93728,0.80379,1.18054,1.03104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
66,522.676,0.94302,0.91224,1.13288,0.99673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000713,0.000713,0.000713
67,528.055,0.91196,0.8125,1.05466,1.00155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
68,533.376,0.89137,0.88388,1.07618,0.99989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006734,0.0006734,0.0006734
69,538.77,0.90571,0.82469,1.04956,0.9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
70,544.093,0.83208,0.79054,0.9975,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006338,0.0006338,0.0006338
71,549.334,0.78534,0.77878,1.03881,1.01719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
72,554.657,0.89315,0.79481,1.01326,0.97892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005942,0.0005942,0.0005942
73,560.047,0.73678,0.6667,0.93567,0.94844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
74,565.382,0.7866,0.77212,0.88932,0.95006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005546,0.0005546,0.0005546
75,570.806,0.84052,0.73502,0.90863,0.97078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
76,576.21,0.8819,0.77406,0.92308,0.97601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000515,0.000515,0.000515
77,581.535,0.78512,0.76414,0.95773,0.95052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
78,586.79,0.79825,0.69149,0.92594,0.97307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004754,0.0004754,0.0004754
79,592.147,0.77605,0.76386,0.92376,0.93852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
80,597.563,0.85862,0.83342,0.99963,0.9747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004358,0.0004358,0.0004358
81,602.955,0.76493,0.71608,0.90311,0.93624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
82,608.389,0.74045,0.70025,0.90631,0.97191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003962,0.0003962,0.0003962
83,613.848,0.74729,0.71211,0.94395,0.98921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
84,619.262,0.66364,0.72785,0.80603,0.91864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003566,0.0003566,0.0003566
85,624.606,0.70066,0.65685,0.97004,0.95987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
86,629.981,0.65794,0.65037,0.84977,0.91833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000317,0.000317,0.000317
87,635.317,0.75008,0.71726,0.86828,0.93816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
88,640.63,0.77777,0.84804,0.9064,0.95275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002774,0.0002774,0.0002774
89,645.996,0.68915,0.59524,0.94313,0.93974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
90,651.383,0.72263,0.6986,0.85878,0.98769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002378,0.0002378,0.0002378
91,673.359,0.68115,0.62674,1.11641,0.96736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
92,678.68,0.64929,0.56646,0.97337,0.93119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001982,0.0001982,0.0001982
93,683.926,0.57737,0.5193,0.93135,0.90156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
94,689.175,0.58861,0.57538,0.94575,0.86827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001586,0.0001586,0.0001586
95,694.572,0.60525,0.5429,0.93313,0.91053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
96,699.78,0.58331,0.5229,0.9846,0.92313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119,0.000119,0.000119
97,705.089,0.59937,0.52217,1.07443,0.91358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
98,710.409,0.58792,0.51836,0.88068,0.92885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94e-05,7.94e-05,7.94e-05
99,715.64,0.59796,0.51922,0.92758,0.92954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
